key,en,cs,target,notes,status
centre.run.helper,Use this summary before sharing Candidate or Examiner QR links.,Použijte tento souhrn před sdílením Candidate QR nebo Examiner QR odkazů.,Use Dette sammendrag før sharing Candidate eller Examiner QR lenker.,"Protected term(s): Candidate, Examiner, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
centre.run.dataMode,Data mode,Datový režim,Data mode,Target intentionally blank for reviewer translation.,needs_review
centre.run.setup,Centre Setup,Centre Setup,Centre Setup,"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
centre.run.validation,Validation,Validace,Validation,Target intentionally blank for reviewer translation.,needs_review
centre.run.testPackage,Test package,Testový balíček,Testpakke,Target intentionally blank for reviewer translation.,needs_review
centre.run.qrDistribution,QR distribution,Distribuce QR,QR distribution,Target intentionally blank for reviewer translation.,needs_review
centre.run.backend,backend-loaded pilot data,backend-loaded pilot data,backend-loaded pilot data,Protected term(s): backend-loaded pilot data. Do not translate unless explicitly approved during review.,needs_review
centre.run.demo,demo fallback data,demo fallback data,demo fallback data,Protected term(s): demo fallback data. Do not translate unless explicitly approved during review.,needs_review
centre.run.saved,Saved / no local changes,Uloženo / žádné lokální změny,Lagret / nei lokal changes,Target intentionally blank for reviewer translation.,needs_review
centre.run.unsaved,Unsaved local changes,Neuložené lokální změny,Unsaved lokal changes,Target intentionally blank for reviewer translation.,needs_review
centre.run.imported,Imported,Importováno,Importert,Target intentionally blank for reviewer translation.,needs_review
centre.run.missing,Missing,Chybí,Mangler,Target intentionally blank for reviewer translation.,needs_review
centre.run.qrReady,Ready after setup is saved and backend-loaded,Připraveno po uložení setupu a načtení backendových dat,Klar etter setup er lagret og backend-lastet,Target intentionally blank for reviewer translation.,needs_review
centre.run.review,Review guardrails,Zkontrolovat guardrails,Gjennomgå guardrails,Target intentionally blank for reviewer translation.,needs_review
centre.network.title,Network readiness checklist,Kontrola připravenosti sítě,Sjekkliste for nettverksberedskap,Target intentionally blank for reviewer translation.,needs_review
centre.network.helper,Use this before distributing Candidate QR and Examiner QR links during a pilot session.,Použijte před distribucí Candidate QR a Examiner QR odkazů během pilotní zkoušky.,Use Dette før distribusjon av Candidate QR og Examiner QR lenker under en pilot sesjon.,"Protected term(s): Candidate, Examiner, Candidate QR, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
centre.network.wifi,Stable Wi-Fi/router is running,Stabilní Wi-Fi/router běží,Stable Wi-Fi/router er running,Target intentionally blank for reviewer translation.,needs_review
centre.network.internet,Internet access works on tablets,Internet na tabletech funguje,Internet access works on tablets,Target intentionally blank for reviewer translation.,needs_review
centre.network.url,Deployed VetBara URL opens on tablets,Nasazená URL VetBara se otevře na tabletech,Deployed VetBara URL åpnes on tablets,Target intentionally blank for reviewer translation.,needs_review
centre.network.centreQr,Centre QR/session opens,Centre QR/session se otevře,Centre QR/sesjon åpnes,"Protected term(s): Centre, Centre QR. Do not translate unless explicitly approved during review.",needs_review
centre.network.candidateQr,Candidate QR opens on a tablet,Candidate QR se otevře na tabletu,Candidate QR åpnes on en nettbrett,"Protected term(s): Candidate, Candidate QR. Do not translate unless explicitly approved during review.",needs_review
centre.network.examinerQr,Examiner QR opens on a tablet,Examiner QR se otevře na tabletu,Examiner QR åpnes on en nettbrett,"Protected term(s): Examiner, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
centre.network.setup,Save/Load Centre Setup tested,Save/Load Centre Setup otestováno,Lagre/last inn Centre Setup testet,"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
centre.network.sync,Sync/Audit panel checked,Sync/Audit panel zkontrolován,Sync/Audit panel checked,Target intentionally blank for reviewer translation.,needs_review
centre.network.export,Export download tested,Stažení exportu otestováno,Eksporter last ned testet,Target intentionally blank for reviewer translation.,needs_review
qr.title,Centre / QR access pack,Centrum / QR access pack,Centre / QR tilgangspakke,Protected term(s): Centre. Do not translate unless explicitly approved during review.,needs_review
qr.subtitle,Give each Candidate or Examiner only their own Candidate QR or Examiner QR link. Backend-loaded QR URLs appear after Load/Save Centre Setup; demo fallback QR links are for local prototype testing only.,Každému kandidátovi nebo zkoušejícímu předejte pouze jeho vlastní Candidate QR nebo Examiner QR odkaz. Backend-loaded QR URL se zobrazí po Load/Save Centre Setup; demo fallback QR odkazy jsou jen pro lokální testování prototypu.,Gi hver Candidate eller Examiner Bare sin egen Candidate QR eller Examiner QR lenke. backend-lastet QR-URL-er vises etter last inn/lagre Centre Setup; demo fallback QR-lenker er for lokal prototype testing Bare.,"Protected term(s): Candidate, Examiner, Centre, Centre Setup, Candidate QR, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
qr.candidateLinks,Candidate QR links,Candidate QR odkazy,Candidate QR lenker,"Protected term(s): Candidate, Candidate QR. Do not translate unless explicitly approved during review.",needs_review
qr.examinerLinks,Examiner QR links,Examiner QR odkazy,Examiner QR lenker,"Protected term(s): Examiner, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
qr.copy,Copy link,Kopírovat odkaz,Kopier lenke,Target intentionally blank for reviewer translation.,needs_review
qr.candidateBackend,backend-loaded Candidate QR,backend-loaded Candidate QR,backend-lastet Candidate QR,"Protected term(s): Candidate, Candidate QR. Do not translate unless explicitly approved during review.",needs_review
qr.candidateDemo,demo fallback Candidate QR,demo fallback Candidate QR,demo fallback Candidate QR,"Protected term(s): Candidate, Candidate QR. Do not translate unless explicitly approved during review.",needs_review
qr.examinerBackend,backend-loaded Examiner QR,backend-loaded Examiner QR,backend-lastet Examiner QR,"Protected term(s): Examiner, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
qr.examinerDemo,demo fallback Examiner QR,demo fallback Examiner QR,demo fallback Examiner QR,"Protected term(s): Examiner, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
common.scanQr,Scan QR,Skenovat QR,Skann QR,Target intentionally blank for reviewer translation.,needs_review
common.loggedIn,Logged in,Přihlášeno,Logget inn,Target intentionally blank for reviewer translation.,needs_review
common.logout,Logout,Odhlásit,Logout,Target intentionally blank for reviewer translation.,needs_review
candidate.view.title,Candidate / Tablet login and workspace,Kandidát / Přihlášení na tabletu a pracovní prostor,Candidate / nettbrett login og arbeidsflate,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
candidate.view.subtitle,"Candidate opens only their own QR workspace, confirms identity, then completes each exam section.","Kandidát otevře pouze svůj vlastní QR pracovní prostor, potvrdí identitu a poté dokončí jednotlivé části zkoušky.","Candidate åpnes Bare sin egen QR arbeidsflate, bekrefter identitet, then fullfører each exam seksjon.",Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
candidate.qrAccess.title,Candidate QR access,Přístup přes Candidate QR,Candidate QR access,"Protected term(s): Candidate, Candidate QR. Do not translate unless explicitly approved during review.",needs_review
candidate.qrAccess.helper,Scan the personal QR issued by the Centre. This portal only shows the current Candidate workspace.,Naskenujte osobní QR vydaný Centrem. Tento portál zobrazuje pouze aktuální pracovní prostor kandidáta.,Skann personlig QR utstedt av Centre. Dette portal Bare shows current Candidate arbeidsflate.,"Protected term(s): Candidate, Centre. Do not translate unless explicitly approved during review.",needs_review
candidate.empty,No Candidate is logged in. Scan the personal Candidate QR issued by the Centre.,Není přihlášen žádný kandidát. Naskenujte osobní Candidate QR vydaný Centrem.,Nei Candidate er logget inn. skann personlig Candidate QR utstedt av Centre.,"Protected term(s): Candidate, Centre, Candidate QR. Do not translate unless explicitly approved during review.",needs_review
examiner.view.title,Examiner / Landing page and Outdoor exercises,Zkoušející / Úvodní stránka a outdoor cvičení,Examiner / landingsside og utendørs exercises,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
examiner.view.subtitle,"Examiner logs in, confirms identity, sees assigned candidates and opens outdoor forms.","Zkoušející se přihlásí, potvrdí identitu, vidí přiřazené kandidáty a otevírá outdoor formuláře.","Examiner logger inn, bekrefter identitet, ser tildelt kandidater og åpnes utendørs skjemaer.",Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
examiner.qrAccess.title,Examiner QR access,Přístup přes Examiner QR,Examiner QR access,"Protected term(s): Examiner, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
examiner.qrAccess.helper,Scan the personal Examiner QR issued by the Centre. This portal only shows assigned Candidate work.,Naskenujte osobní Examiner QR vydaný Centrem. Tento portál zobrazuje pouze přiřazenou práci kandidátů.,Skann personlig Examiner QR utstedt av Centre. Dette portal Bare shows tildelt Candidate arbeid.,"Protected term(s): Candidate, Examiner, Centre, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
examiner.empty,No Examiner is logged in. Scan the personal Examiner QR issued by the Centre.,Není přihlášen žádný zkoušející. Naskenujte osobní Examiner QR vydaný Centrem.,Nei Examiner er logget inn. skann personlig Examiner QR utstedt av Centre.,"Protected term(s): Examiner, Centre, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
candidate.identity.title,Confirm identity,Potvrzení identity,Bekreft identitet,Target intentionally blank for reviewer translation.,needs_review
candidate.identity.helper,Check your name and document details before opening exam sections.,Před otevřením částí zkoušky zkontrolujte své jméno a údaje dokladu.,Check din navn og dokument details før åpning av eksamensseksjoner.,Target intentionally blank for reviewer translation.,needs_review
candidate.identity.confirm,Confirm identity,Potvrdit identitu,Bekreft identitet,Target intentionally blank for reviewer translation.,needs_review
candidate.sections.title,Exam sections,Části zkoušky,Eksamensseksjoner,Target intentionally blank for reviewer translation.,needs_review
candidate.sections.open,Open section,Otevřít část,Åpne seksjon,Target intentionally blank for reviewer translation.,needs_review
candidate.sections.reopen,Reopen section,Znovu otevřít část,Reopen seksjon,Target intentionally blank for reviewer translation.,needs_review
candidate.sections.closed,Closed,Uzavřeno,Lukket,Target intentionally blank for reviewer translation.,needs_review
candidate.sections.opened,Open,Otevřeno,Åpne,Target intentionally blank for reviewer translation.,needs_review
candidate.sections.locked,Locked,Zamčeno,Locked,Target intentionally blank for reviewer translation.,needs_review
test.title,Written test,Písemný test,Skriftlig test,Target intentionally blank for reviewer translation.,needs_review
test.helper,Answer the questions for the selected variant. Answers are saved to the sync queue.,Odpovězte na otázky vybrané varianty. Odpovědi se ukládají do sync queue.,Svar spørsmål for valgt variant. svar er lagret til sync queue.,Protected term(s): sync queue. Do not translate unless explicitly approved during review.,needs_review
test.noQuestions,No written test questions are available for this variant.,Pro tuto variantu nejsou dostupné žádné otázky písemného testu.,Nei Skriftlig test spørsmål er tilgjengelig for Dette variant.,Target intentionally blank for reviewer translation.,needs_review
test.answer,Answer,Odpověď,Svar,Target intentionally blank for reviewer translation.,needs_review
test.save,Save answer,Uložit odpověď,Lagre svar,Target intentionally blank for reviewer translation.,needs_review
test.submit,Submit and close written test,Odeslat a uzavřít písemný test,Send inn og lukk Skriftlig test,Target intentionally blank for reviewer translation.,needs_review
test.back,Back to sections,Zpět na části zkoušky,Tilbake til seksjoner,Target intentionally blank for reviewer translation.,needs_review
report.title,Consulting report draft,Návrh Consulting reportu,Consulting rapport utkast,Protected term(s): Consulting. Do not translate unless explicitly approved during review.,needs_review
report.helper,"Prepare field notes and final text for the Consulting report. Photo entries are pilot/archive placeholders, not real uploads.","Připravte terénní poznámky a finální text pro Consulting report. Foto položky jsou pilot/archive placeholders, nikoli skutečný upload.","Forbered feltnotater og slutttekst for Consulting rapport. fotooppføringer er pilot/archive placeholders, not ekte opplastinger.","Protected term(s): Consulting, pilot/archive placeholder. Do not translate unless explicitly approved during review.",needs_review
report.tree,Tree,Strom,Tree,Target intentionally blank for reviewer translation.,needs_review
report.fieldNotes,Field notes,Terénní poznámky,Feltnotater,Target intentionally blank for reviewer translation.,needs_review
report.finalText,Final text,Finální text,Slutttekst,Target intentionally blank for reviewer translation.,needs_review
report.photoPlaceholder,Photo placeholder / archive note,Foto placeholder / archivní poznámka,Photo placeholder / archive notat,Target intentionally blank for reviewer translation.,needs_review
report.addPhoto,Add photo placeholder,Přidat foto placeholder,Legg til photo placeholder,Target intentionally blank for reviewer translation.,needs_review
report.submit,Submit and close report,Odeslat a uzavřít report,Send inn og lukk rapport,Target intentionally blank for reviewer translation.,needs_review
report.back,Back to sections,Zpět na části zkoušky,Tilbake til seksjoner,Target intentionally blank for reviewer translation.,needs_review
common.back,Back,Zpět,Back,Target intentionally blank for reviewer translation.,needs_review
common.offlineRetry,"If offline, visible local work remains and sync will retry when session/backend is available.","Pokud je zařízení offline, viditelná lokální práce zůstane zachována a sync se zkusí zopakovat, až bude dostupná session/backend.","Hvis offline, synlig lokal arbeid remains og sync will retry when sesjon/backend er tilgjengelig.",Target intentionally blank for reviewer translation.,needs_review
common.opened,Opened,Otevřeno,Åpnet,Target intentionally blank for reviewer translation.,needs_review
common.closed,Closed,Uzavřeno,Lukket,Target intentionally blank for reviewer translation.,needs_review
common.points,point(s),bodů,point(s),Target intentionally blank for reviewer translation.,needs_review
candidate.identity.detailsTitle,Confirm personal details,Potvrzení osobních údajů,Bekreft personlig details,Target intentionally blank for reviewer translation.,needs_review
candidate.identity.name,Candidate name,Jméno kandidáta,Candidate navn,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
candidate.identity.birthDate,Date of birth,Datum narození,Dato of birth,Target intentionally blank for reviewer translation.,needs_review
candidate.identity.documentId,Document / registration ID,Doklad / registrační ID,Dokument / registration ID,Target intentionally blank for reviewer translation.,needs_review
candidate.identity.examLevel,Exam level,Úroveň zkoušky,Exam nivå,Target intentionally blank for reviewer translation.,needs_review
candidate.identity.warning,Confirm identity before opening exam sections.,Před otevřením částí zkoušky potvrďte identitu.,Bekreft identitet før åpning av eksamensseksjoner.,Target intentionally blank for reviewer translation.,needs_review
candidate.identity.confirmed,Identity confirmed,Identita potvrzena,Identitet bekreftet,Target intentionally blank for reviewer translation.,needs_review
candidate.landing.title,Candidate landing page,Úvodní stránka kandidáta,Candidate landingsside,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
candidate.landing.helper,Review which sections are ready before opening work for this exam attempt.,"Zkontrolujte, které části jsou připravené, než otevřete práci pro tento pokus.",Gjennomgå which seksjoner er klar før åpning av arbeid for Dette exam forsøk.,Target intentionally blank for reviewer translation.,needs_review
candidate.readiness.title,Candidate readiness,Připravenost kandidáta,Candidate readiness,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
candidate.readiness.identity,Identity confirmed,Identita potvrzena,Identitet bekreftet,Target intentionally blank for reviewer translation.,needs_review
candidate.readiness.writtenTest,Written test available,Písemný test dostupný,Skriftlig test tilgjengelig,Target intentionally blank for reviewer translation.,needs_review
candidate.readiness.report,Report section available,Report dostupný,Rapport seksjon tilgjengelig,Target intentionally blank for reviewer translation.,needs_review
candidate.section.confirmFirst,Confirm identity first.,Nejprve potvrďte identitu.,Bekreft identitet first.,Target intentionally blank for reviewer translation.,needs_review
candidate.section.closed,This section is closed.,Tato část je uzavřená.,Dette seksjon er lukket.,Target intentionally blank for reviewer translation.,needs_review
candidate.section.open,This section is open.,Tato část je otevřená.,Dette seksjon er åpne.,Target intentionally blank for reviewer translation.,needs_review
candidate.section.locked,This section is locked.,Tato část je zamčená.,Dette seksjon er locked.,Target intentionally blank for reviewer translation.,needs_review
candidate.section.requestReopen,Request reopen,Požádat o znovuotevření,Request reopen,Target intentionally blank for reviewer translation.,needs_review
test.variantAutosave,Variant: {variant}. Autosaved to the sync queue. Final submit closes this section.,Varianta: {variant}. Odpovědi se ukládají do sync queue. Finální odeslání tuto část uzavře.,Variant: {variant}. Autosaved til sync queue. endelig innsending closes Dette seksjon.,Preserve placeholder(s) exactly: {variant}. Protected term(s): sync queue. Do not translate unless explicitly approved during review.,needs_review
test.askCentre,Ask the Centre to import/select a test package and save Centre Setup.,Požádejte Centrum o import/výběr testového balíčku a uložení Centre Setup.,Spør Centre til importer/select en testpakke og lagre Centre Setup.,"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
test.question,Question,Otázka,Question,Target intentionally blank for reviewer translation.,needs_review
test.writeAnswer,Write your answer here,Sem napište odpověď,Write din svar here,Target intentionally blank for reviewer translation.,needs_review
report.titleFull,Consulting report - 2 trees,Consulting report - 2 stromy,Consulting rapport - 2 trees,Protected term(s): Consulting. Do not translate unless explicitly approved during review.,needs_review
report.photos,Photos,Fotografie,Bilder,Target intentionally blank for reviewer translation.,needs_review
report.photoHelper,"Photo entries are pilot/archive placeholders, not real uploads yet.","Foto položky jsou pilot/archive placeholders, nejde zatím o skutečný upload.","Fotooppføringer er pilot/archive placeholders, not ekte opplastinger ennå.",Protected term(s): pilot/archive placeholder. Do not translate unless explicitly approved during review.,needs_review
report.addPhotoShort,Add photo,Přidat fotografii,Legg til photo,Target intentionally blank for reviewer translation.,needs_review
report.fieldPlaceholder,Field observations and rough notes...,Terénní pozorování a pracovní poznámky...,Field observations og rough notater...,Target intentionally blank for reviewer translation.,needs_review
examiner.identity.title,Confirm Examiner identity,Potvrzení identity zkoušejícího,Bekreft Examiner identitet,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
examiner.identity.name,Examiner name,Jméno zkoušejícího,Examiner navn,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
examiner.identity.registrationId,Registration ID,Registrační ID,Registration ID,Target intentionally blank for reviewer translation.,needs_review
examiner.identity.confirmed,Identity confirmed,Identita potvrzena,Identitet bekreftet,Target intentionally blank for reviewer translation.,needs_review
examiner.identity.confirm,Confirm identity,Potvrdit identitu,Bekreft identitet,Target intentionally blank for reviewer translation.,needs_review
examiner.readiness.title,Examiner readiness,Připravenost zkoušejícího,Examiner readiness,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
examiner.readiness.identity,Identity confirmed,Identita potvrzena,Identitet bekreftet,Target intentionally blank for reviewer translation.,needs_review
examiner.readiness.assignments,Assignments available,Přiřazení dostupná,Assignments tilgjengelig,Target intentionally blank for reviewer translation.,needs_review
examiner.worklist.title,Assigned Candidate worklist,Seznam přiřazených kandidátů,Tildelt Candidate worklist,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
examiner.worklist.helper,Primary Examiner must complete the full outdoor form. Secondary Examiner input is optional/supporting.,Primary Examiner musí vyplnit celý outdoor formulář. Secondary Examiner input je volitelný/podpůrný.,Primary Examiner must complete fullstendig utendørsskjema. Secondary Examiner inndata er valgfri/støttende.,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
