key,en,cs,target,notes,status
centre.guardrails.testPackage,Import/select a test package before written test pilot runs.,Importujte/vyberte testový balíček před pilotním během written test.,Importa/select un pachet de test înainte de Test scris pilot runs.,Target intentionally blank for reviewer translation.,needs_review
centre.guardrails.backend,Load backend Centre Setup before pilot testing with real users.,Před testováním s reálnými uživateli načtěte backendový Centre Setup.,Încarcă backend Centre Setup înainte de pilot testare cu reale users.,"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
centre.run.title,Pilot run summary,Souhrn pilotního běhu,Rezumat rulare pilot,Target intentionally blank for reviewer translation.,needs_review
centre.run.helper,Use this summary before sharing Candidate or Examiner QR links.,Použijte tento souhrn před sdílením Candidate QR nebo Examiner QR odkazů.,Use Acest rezumat înainte de sharing Candidate sau Examiner QR linkuri.,"Protected term(s): Candidate, Examiner, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
centre.run.dataMode,Data mode,Datový režim,Data mode,Target intentionally blank for reviewer translation.,needs_review
centre.run.setup,Centre Setup,Centre Setup,Centre Setup,"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
centre.run.validation,Validation,Validace,Validation,Target intentionally blank for reviewer translation.,needs_review
centre.run.testPackage,Test package,Testový balíček,Pachet de test,Target intentionally blank for reviewer translation.,needs_review
centre.run.qrDistribution,QR distribution,Distribuce QR,QR distribution,Target intentionally blank for reviewer translation.,needs_review
centre.run.backend,backend-loaded pilot data,backend-loaded pilot data,backend-loaded pilot data,Protected term(s): backend-loaded pilot data. Do not translate unless explicitly approved during review.,needs_review
centre.run.demo,demo fallback data,demo fallback data,demo fallback data,Protected term(s): demo fallback data. Do not translate unless explicitly approved during review.,needs_review
centre.run.saved,Saved / no local changes,Uloženo / žádné lokální změny,Salvat / nu local changes,Target intentionally blank for reviewer translation.,needs_review
centre.run.unsaved,Unsaved local changes,Neuložené lokální změny,Unsaved local changes,Target intentionally blank for reviewer translation.,needs_review
centre.run.imported,Imported,Importováno,Importat,Target intentionally blank for reviewer translation.,needs_review
centre.run.missing,Missing,Chybí,Lipsa,Target intentionally blank for reviewer translation.,needs_review
centre.run.qrReady,Ready after setup is saved and backend-loaded,Připraveno po uložení setupu a načtení backendových dat,Gata după setup este salvat și backend-încărcat,Target intentionally blank for reviewer translation.,needs_review
centre.run.review,Review guardrails,Zkontrolovat guardrails,Revizuieste guardrails,Target intentionally blank for reviewer translation.,needs_review
centre.network.title,Network readiness checklist,Kontrola připravenosti sítě,Lista de verificare pentru pregatirea retelei,Target intentionally blank for reviewer translation.,needs_review
centre.network.helper,Use this before distributing Candidate QR and Examiner QR links during a pilot session.,Použijte před distribucí Candidate QR a Examiner QR odkazů během pilotní zkoušky.,Use Acest înainte de distribuirea Candidate QR și Examiner QR linkuri în timpul un pilot sesiune.,"Protected term(s): Candidate, Examiner, Candidate QR, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
centre.network.wifi,Stable Wi-Fi/router is running,Stabilní Wi-Fi/router běží,Stable Wi-Fi/router este running,Target intentionally blank for reviewer translation.,needs_review
centre.network.internet,Internet access works on tablets,Internet na tabletech funguje,Internet access works on tablets,Target intentionally blank for reviewer translation.,needs_review
centre.network.url,Deployed VetBara URL opens on tablets,Nasazená URL VetBara se otevře na tabletech,Deployed VetBara URL se deschide on tablets,Target intentionally blank for reviewer translation.,needs_review
centre.network.centreQr,Centre QR/session opens,Centre QR/session se otevře,Centre QR/sesiune se deschide,"Protected term(s): Centre, Centre QR. Do not translate unless explicitly approved during review.",needs_review
centre.network.candidateQr,Candidate QR opens on a tablet,Candidate QR se otevře na tabletu,Candidate QR se deschide on un tableta,"Protected term(s): Candidate, Candidate QR. Do not translate unless explicitly approved during review.",needs_review
centre.network.examinerQr,Examiner QR opens on a tablet,Examiner QR se otevře na tabletu,Examiner QR se deschide on un tableta,"Protected term(s): Examiner, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
centre.network.setup,Save/Load Centre Setup tested,Save/Load Centre Setup otestováno,salvează/încarcă Centre Setup testat,"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
centre.network.sync,Sync/Audit panel checked,Sync/Audit panel zkontrolován,Sync/Audit panel checked,Target intentionally blank for reviewer translation.,needs_review
centre.network.export,Export download tested,Stažení exportu otestováno,Exporta descarca testat,Target intentionally blank for reviewer translation.,needs_review
qr.title,Centre / QR access pack,Centrum / QR access pack,Centre / QR pachet de acces,Protected term(s): Centre. Do not translate unless explicitly approved during review.,needs_review
qr.subtitle,Give each Candidate or Examiner only their own Candidate QR or Examiner QR link. Backend-loaded QR URLs appear after Load/Save Centre Setup; demo fallback QR links are for local prototype testing only.,Každému kandidátovi nebo zkoušejícímu předejte pouze jeho vlastní Candidate QR nebo Examiner QR odkaz. Backend-loaded QR URL se zobrazí po Load/Save Centre Setup; demo fallback QR odkazy jsou jen pro lokální testování prototypu.,Oferiți fiecărui Candidate sau Examiner Doar propriul Candidate QR sau Examiner QR link. backend-încărcat URL-uri QR apar după încarcă/salvează Centre Setup; demo fallback linkuri QR sunt pentru local prototip testare Doar.,"Protected term(s): Candidate, Examiner, Centre, Centre Setup, Candidate QR, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
qr.candidateLinks,Candidate QR links,Candidate QR odkazy,Candidate QR linkuri,"Protected term(s): Candidate, Candidate QR. Do not translate unless explicitly approved during review.",needs_review
qr.examinerLinks,Examiner QR links,Examiner QR odkazy,Examiner QR linkuri,"Protected term(s): Examiner, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
qr.copy,Copy link,Kopírovat odkaz,Copiaza linkul,Target intentionally blank for reviewer translation.,needs_review
qr.candidateBackend,backend-loaded Candidate QR,backend-loaded Candidate QR,backend-încărcat Candidate QR,"Protected term(s): Candidate, Candidate QR. Do not translate unless explicitly approved during review.",needs_review
qr.candidateDemo,demo fallback Candidate QR,demo fallback Candidate QR,demo fallback Candidate QR,"Protected term(s): Candidate, Candidate QR. Do not translate unless explicitly approved during review.",needs_review
qr.examinerBackend,backend-loaded Examiner QR,backend-loaded Examiner QR,backend-încărcat Examiner QR,"Protected term(s): Examiner, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
qr.examinerDemo,demo fallback Examiner QR,demo fallback Examiner QR,demo fallback Examiner QR,"Protected term(s): Examiner, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
common.scanQr,Scan QR,Skenovat QR,Scanează QR,Target intentionally blank for reviewer translation.,needs_review
common.loggedIn,Logged in,Přihlášeno,Autentificat,Target intentionally blank for reviewer translation.,needs_review
common.logout,Logout,Odhlásit,Logout,Target intentionally blank for reviewer translation.,needs_review
candidate.view.title,Candidate / Tablet login and workspace,Kandidát / Přihlášení na tabletu a pracovní prostor,Candidate / tableta login și spațiu de lucru,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
candidate.view.subtitle,"Candidate opens only their own QR workspace, confirms identity, then completes each exam section.","Kandidát otevře pouze svůj vlastní QR pracovní prostor, potvrdí identitu a poté dokončí jednotlivé části zkoušky.","Candidate se deschide Doar propriul QR spațiu de lucru, confirmă identitate, then completează each exam secțiune.",Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
candidate.qrAccess.title,Candidate QR access,Přístup přes Candidate QR,Candidate QR access,"Protected term(s): Candidate, Candidate QR. Do not translate unless explicitly approved during review.",needs_review
candidate.qrAccess.helper,Scan the personal QR issued by the Centre. This portal only shows the current Candidate workspace.,Naskenujte osobní QR vydaný Centrem. Tento portál zobrazuje pouze aktuální pracovní prostor kandidáta.,Scanează personal QR emis de Centre. Acest portal Doar shows current Candidate spațiu de lucru.,"Protected term(s): Candidate, Centre. Do not translate unless explicitly approved during review.",needs_review
candidate.empty,No Candidate is logged in. Scan the personal Candidate QR issued by the Centre.,Není přihlášen žádný kandidát. Naskenujte osobní Candidate QR vydaný Centrem.,Nu Candidate este autentificat. Scanează personal Candidate QR emis de Centre.,"Protected term(s): Candidate, Centre, Candidate QR. Do not translate unless explicitly approved during review.",needs_review
examiner.view.title,Examiner / Landing page and Outdoor exercises,Zkoušející / Úvodní stránka a outdoor cvičení,Examiner / pagină de pornire și outdoor exercises,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
examiner.view.subtitle,"Examiner logs in, confirms identity, sees assigned candidates and opens outdoor forms.","Zkoušející se přihlásí, potvrdí identitu, vidí přiřazené kandidáty a otevírá outdoor formuláře.","Examiner se autentifică, confirmă identitate, vede atribuit candidati și se deschide outdoor formulare.",Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
examiner.qrAccess.title,Examiner QR access,Přístup přes Examiner QR,Examiner QR access,"Protected term(s): Examiner, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
examiner.qrAccess.helper,Scan the personal Examiner QR issued by the Centre. This portal only shows assigned Candidate work.,Naskenujte osobní Examiner QR vydaný Centrem. Tento portál zobrazuje pouze přiřazenou práci kandidátů.,Scanează personal Examiner QR emis de Centre. Acest portal Doar shows atribuit Candidate lucru.,"Protected term(s): Candidate, Examiner, Centre, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
examiner.empty,No Examiner is logged in. Scan the personal Examiner QR issued by the Centre.,Není přihlášen žádný zkoušející. Naskenujte osobní Examiner QR vydaný Centrem.,Nu Examiner este autentificat. Scanează personal Examiner QR emis de Centre.,"Protected term(s): Examiner, Centre, Examiner QR. Do not translate unless explicitly approved during review.",needs_review
candidate.identity.title,Confirm identity,Potvrzení identity,Confirma identitatea,Target intentionally blank for reviewer translation.,needs_review
candidate.identity.helper,Check your name and document details before opening exam sections.,Před otevřením částí zkoušky zkontrolujte své jméno a údaje dokladu.,Check dvs. nume și document details înainte de un deschide secțiuni de examen.,Target intentionally blank for reviewer translation.,needs_review
candidate.identity.confirm,Confirm identity,Potvrdit identitu,Confirma identitatea,Target intentionally blank for reviewer translation.,needs_review
candidate.sections.title,Exam sections,Části zkoušky,Secțiuni de examen,Target intentionally blank for reviewer translation.,needs_review
candidate.sections.open,Open section,Otevřít část,Deschide secțiune,Target intentionally blank for reviewer translation.,needs_review
candidate.sections.reopen,Reopen section,Znovu otevřít část,Reopen secțiune,Target intentionally blank for reviewer translation.,needs_review
candidate.sections.closed,Closed,Uzavřeno,Închis,Target intentionally blank for reviewer translation.,needs_review
candidate.sections.opened,Open,Otevřeno,Deschide,Target intentionally blank for reviewer translation.,needs_review
candidate.sections.locked,Locked,Zamčeno,Locked,Target intentionally blank for reviewer translation.,needs_review
test.title,Written test,Písemný test,Test scris,Target intentionally blank for reviewer translation.,needs_review
test.helper,Answer the questions for the selected variant. Answers are saved to the sync queue.,Odpovězte na otázky vybrané varianty. Odpovědi se ukládají do sync queue.,Răspuns întrebări pentru selectat varianta. răspunsuri sunt salvate la sync queue.,Protected term(s): sync queue. Do not translate unless explicitly approved during review.,needs_review
test.noQuestions,No written test questions are available for this variant.,Pro tuto variantu nejsou dostupné žádné otázky písemného testu.,Nu Test scris întrebări sunt disponibil pentru Acest varianta.,Target intentionally blank for reviewer translation.,needs_review
test.answer,Answer,Odpověď,Răspuns,Target intentionally blank for reviewer translation.,needs_review
test.save,Save answer,Uložit odpověď,salvează răspuns,Target intentionally blank for reviewer translation.,needs_review
test.submit,Submit and close written test,Odeslat a uzavřít písemný test,Trimite și închide Test scris,Target intentionally blank for reviewer translation.,needs_review
test.back,Back to sections,Zpět na části zkoušky,Înapoi la secțiuni,Target intentionally blank for reviewer translation.,needs_review
report.title,Consulting report draft,Návrh Consulting reportu,Consulting raport schita,Protected term(s): Consulting. Do not translate unless explicitly approved during review.,needs_review
report.helper,"Prepare field notes and final text for the Consulting report. Photo entries are pilot/archive placeholders, not real uploads.","Připravte terénní poznámky a finální text pro Consulting report. Foto položky jsou pilot/archive placeholders, nikoli skutečný upload.","Pregătiți notă de teren și text final pentru Consulting raport. intrări foto sunt pilot/archive placeholders, not încărcări reale.","Protected term(s): Consulting, pilot/archive placeholder. Do not translate unless explicitly approved during review.",needs_review
report.tree,Tree,Strom,Tree,Target intentionally blank for reviewer translation.,needs_review
report.fieldNotes,Field notes,Terénní poznámky,Notă de teren,Target intentionally blank for reviewer translation.,needs_review
report.finalText,Final text,Finální text,Text final,Target intentionally blank for reviewer translation.,needs_review
report.photoPlaceholder,Photo placeholder / archive note,Foto placeholder / archivní poznámka,Photo placeholder / archive notă,Target intentionally blank for reviewer translation.,needs_review
report.addPhoto,Add photo placeholder,Přidat foto placeholder,Adauga photo placeholder,Target intentionally blank for reviewer translation.,needs_review
report.submit,Submit and close report,Odeslat a uzavřít report,Trimite și închide raport,Target intentionally blank for reviewer translation.,needs_review
report.back,Back to sections,Zpět na části zkoušky,Înapoi la secțiuni,Target intentionally blank for reviewer translation.,needs_review
common.back,Back,Zpět,Back,Target intentionally blank for reviewer translation.,needs_review
common.offlineRetry,"If offline, visible local work remains and sync will retry when session/backend is available.","Pokud je zařízení offline, viditelná lokální práce zůstane zachována a sync se zkusí zopakovat, až bude dostupná session/backend.","Dacă offline, vizibil local lucru remains și sync will retry when sesiune/backend este disponibil.",Target intentionally blank for reviewer translation.,needs_review
common.opened,Opened,Otevřeno,Deschis,Target intentionally blank for reviewer translation.,needs_review
common.closed,Closed,Uzavřeno,Închis,Target intentionally blank for reviewer translation.,needs_review
common.points,point(s),bodů,point(s),Target intentionally blank for reviewer translation.,needs_review
candidate.identity.detailsTitle,Confirm personal details,Potvrzení osobních údajů,Confirma personal details,Target intentionally blank for reviewer translation.,needs_review
candidate.identity.name,Candidate name,Jméno kandidáta,Candidate nume,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
candidate.identity.birthDate,Date of birth,Datum narození,Data of birth,Target intentionally blank for reviewer translation.,needs_review
candidate.identity.documentId,Document / registration ID,Doklad / registrační ID,Document / registration ID,Target intentionally blank for reviewer translation.,needs_review
candidate.identity.examLevel,Exam level,Úroveň zkoušky,Exam nivel,Target intentionally blank for reviewer translation.,needs_review
candidate.identity.warning,Confirm identity before opening exam sections.,Před otevřením částí zkoušky potvrďte identitu.,Confirma identitatea înainte de un deschide secțiuni de examen.,Target intentionally blank for reviewer translation.,needs_review
candidate.identity.confirmed,Identity confirmed,Identita potvrzena,Identitate confirmat,Target intentionally blank for reviewer translation.,needs_review
candidate.landing.title,Candidate landing page,Úvodní stránka kandidáta,Candidate pagină de pornire,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
candidate.landing.helper,Review which sections are ready before opening work for this exam attempt.,"Zkontrolujte, které části jsou připravené, než otevřete práci pro tento pokus.",Revizuieste which secțiuni sunt gata înainte de un deschide lucru pentru Acest exam încercare.,Target intentionally blank for reviewer translation.,needs_review
candidate.readiness.title,Candidate readiness,Připravenost kandidáta,Candidate readiness,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
candidate.readiness.identity,Identity confirmed,Identita potvrzena,Identitate confirmat,Target intentionally blank for reviewer translation.,needs_review
candidate.readiness.writtenTest,Written test available,Písemný test dostupný,Test scris disponibil,Target intentionally blank for reviewer translation.,needs_review
candidate.readiness.report,Report section available,Report dostupný,Raport secțiune disponibil,Target intentionally blank for reviewer translation.,needs_review
candidate.section.confirmFirst,Confirm identity first.,Nejprve potvrďte identitu.,Confirma identitatea first.,Target intentionally blank for reviewer translation.,needs_review
candidate.section.closed,This section is closed.,Tato část je uzavřená.,Acest secțiune este închis.,Target intentionally blank for reviewer translation.,needs_review
candidate.section.open,This section is open.,Tato část je otevřená.,Acest secțiune este deschide.,Target intentionally blank for reviewer translation.,needs_review
candidate.section.locked,This section is locked.,Tato část je zamčená.,Acest secțiune este locked.,Target intentionally blank for reviewer translation.,needs_review
candidate.section.requestReopen,Request reopen,Požádat o znovuotevření,Request reopen,Target intentionally blank for reviewer translation.,needs_review
test.variantAutosave,Variant: {variant}. Autosaved to the sync queue. Final submit closes this section.,Varianta: {variant}. Odpovědi se ukládají do sync queue. Finální odeslání tuto část uzavře.,Varianta: {variant}. Autosaved la sync queue. trimitere finală closes Acest secțiune.,Preserve placeholder(s) exactly: {variant}. Protected term(s): sync queue. Do not translate unless explicitly approved during review.,needs_review
test.askCentre,Ask the Centre to import/select a test package and save Centre Setup.,Požádejte Centrum o import/výběr testového balíčku a uložení Centre Setup.,Întrebați Centre la importa/select un pachet de test și salvează Centre Setup.,"Protected term(s): Centre, Centre Setup. Do not translate unless explicitly approved during review.",needs_review
test.question,Question,Otázka,Question,Target intentionally blank for reviewer translation.,needs_review
test.writeAnswer,Write your answer here,Sem napište odpověď,Write dvs. răspuns here,Target intentionally blank for reviewer translation.,needs_review
report.titleFull,Consulting report - 2 trees,Consulting report - 2 stromy,Consulting raport - 2 trees,Protected term(s): Consulting. Do not translate unless explicitly approved during review.,needs_review
report.photos,Photos,Fotografie,Fotografii,Target intentionally blank for reviewer translation.,needs_review
report.photoHelper,"Photo entries are pilot/archive placeholders, not real uploads yet.","Foto položky jsou pilot/archive placeholders, nejde zatím o skutečný upload.","Intrări foto sunt pilot/archive placeholders, not încărcări reale încă.",Protected term(s): pilot/archive placeholder. Do not translate unless explicitly approved during review.,needs_review
report.addPhotoShort,Add photo,Přidat fotografii,Adauga photo,Target intentionally blank for reviewer translation.,needs_review
report.fieldPlaceholder,Field observations and rough notes...,Terénní pozorování a pracovní poznámky...,Field observations și rough notă...,Target intentionally blank for reviewer translation.,needs_review
examiner.identity.title,Confirm Examiner identity,Potvrzení identity zkoušejícího,Confirma Examiner identitate,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
examiner.identity.name,Examiner name,Jméno zkoušejícího,Examiner nume,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
examiner.identity.registrationId,Registration ID,Registrační ID,Registration ID,Target intentionally blank for reviewer translation.,needs_review
examiner.identity.confirmed,Identity confirmed,Identita potvrzena,Identitate confirmat,Target intentionally blank for reviewer translation.,needs_review
examiner.identity.confirm,Confirm identity,Potvrdit identitu,Confirma identitatea,Target intentionally blank for reviewer translation.,needs_review
examiner.readiness.title,Examiner readiness,Připravenost zkoušejícího,Examiner readiness,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
examiner.readiness.identity,Identity confirmed,Identita potvrzena,Identitate confirmat,Target intentionally blank for reviewer translation.,needs_review
examiner.readiness.assignments,Assignments available,Přiřazení dostupná,Assignments disponibil,Target intentionally blank for reviewer translation.,needs_review
examiner.worklist.title,Assigned Candidate worklist,Seznam přiřazených kandidátů,Atribuit Candidate worklist,Protected term(s): Candidate. Do not translate unless explicitly approved during review.,needs_review
examiner.worklist.helper,Primary Examiner must complete the full outdoor form. Secondary Examiner input is optional/supporting.,Primary Examiner musí vyplnit celý outdoor formulář. Secondary Examiner input je volitelný/podpůrný.,Primary Examiner must complete complet outdoor form. Secondary Examiner intrare este optional/de suport.,Protected term(s): Examiner. Do not translate unless explicitly approved during review.,needs_review
